     gradient     frequency (cm-1)	     gradient     frequency (cm-1)	     gradient     frequency (cm-1)	     gradient     frequency (cm-1)	     gradient     frequency (cm-1)	     gradient     frequency (cm-1)	     gradient     frequency (cm-1)	     gradient     frequency (cm-1)
     -0.000594    373.075374	     -0.000450    373.075374	      0.001734    373.075374	      0.000102    373.075374	     -0.000531    373.075374	      0.001954    373.075374	     -0.008111    373.075374	      0.009585    373.075374
      0.229341    576.354701	     -0.210122    576.354701	      0.844670    576.354701	      1.312173    576.354701	      0.496751    576.354701	      1.049136    576.354701	      0.000899    576.354701	      1.194208    576.354701
     -0.000076    654.706157	      0.000077    654.706157	     -0.000039    654.706157	     -0.000128    654.706157	      0.000096    654.706157	     -0.000078    654.706157	      0.000903    654.706157	     -0.000867    654.706157
      0.000217   1066.463580	     -0.000210   1066.463580	      0.000147   1066.463580	      0.000086   1066.463580	     -0.000094   1066.463580	     -0.000047   1066.463580	     -0.001474   1066.463580	      0.001392   1066.463580
      0.907267   1077.001240	     -0.151485   1077.001240	     -0.006940   1077.001240	      0.440721   1077.001240	     -0.254443   1077.001240	     -0.370654   1077.001240	     -0.119868   1077.001240	     -0.102669   1077.001240
      1.196403   1304.861640	     -0.396793   1304.861640	      0.613120   1304.861640	      1.078974   1304.861640	     -0.314668   1304.861640	      0.475515   1304.861640	     -0.126572   1304.861640	      0.447153   1304.861640
     -0.330546   1418.095810	      0.539893   1418.095810	     -0.101635   1418.095810	     -0.385528   1418.095810	      0.430327   1418.095810	     -0.041917   1418.095810	      0.453821   1418.095810	     -0.226539   1418.095810
      0.688317   1615.022820	      0.087686   1615.022820	      0.170674   1615.022820	      0.493671   1615.022820	      0.120523   1615.022820	      0.086079   1615.022820	      0.070041   1615.022820	      0.105454   1615.022820
      1.436994   1737.877140	      0.783841   1737.877140	     -0.085845   1737.877140	      0.902733   1737.877140	      0.639078   1737.877140	      0.078470   1737.877140	      0.616894   1737.877140	      0.271608   1737.877140
      0.179261   3046.281260	      0.034542   3046.281260	      0.180219   3046.281260	      0.166491   3046.281260	     -0.370928   3046.281260	     -0.179231   3046.281260	     -0.023852   3046.281260	      0.163459   3046.281260
      0.110433   3589.174090	     -0.113400   3589.174090	     -0.375268   3589.174090	     -0.126432   3589.174090	     -0.136015   3589.174090	     -0.383600   3589.174090	     -0.162266   3589.174090	     -0.235388   3589.174090
      0.004795   3727.938690	     -0.076811   3727.938690	     -0.126718   3727.938690	      0.024250   3727.938690	      0.022198   3727.938690	      0.058981   3727.938690	     -0.024501   3727.938690	     -0.082261   3727.938690
