     LMXg-LMXex     frequency (cm-1)	     LMXg-LMXex     frequency (cm-1)	     LMXg-LMXex     frequency (cm-1)	     LMXg-LMXex     frequency (cm-1)	     LMXg-LMXex     frequency (cm-1)	     LMXg-LMXex     frequency (cm-1)	     LMXg-LMXex     frequency (cm-1)	     LMXg-LMXex     frequency (cm-1)
     -0.000842    373.075374	      0.000428    373.075374	      0.575158    373.075374	      0.919122    373.075374	      0.000331    373.075374	     -0.000564    373.075374	      0.000368    373.075374	      0.001173    373.075374
    -25.023168    576.354701	    -31.955493    576.354701	    -22.915558    576.354701	      2.146803    576.354701	    -31.939196    576.354701	     -0.054345    576.354701	    -32.000566    576.354701	    -32.003973    576.354701
      0.001462    654.706157	      0.002434    654.706157	     -3.483324    654.706157	     -2.598084    654.706157	      0.002566    654.706157	      0.000390    654.706157	      0.002526    654.706157	      0.001747    654.706157
      0.008810   1066.463580	      0.009144   1066.463580	      1.527146   1066.463580	      2.247320   1066.463580	      0.008921   1066.463580	      0.000041   1066.463580	      0.009242   1066.463580	      0.008593   1066.463580
     36.793555   1077.001240	     39.077062   1077.001240	     35.786663   1077.001240	      1.848721   1077.001240	     38.737843   1077.001240	      0.337740   1077.001240	     38.987570   1077.001240	     38.651463   1077.001240
     20.787418   1304.861640	      7.474346   1304.861640	     21.777151   1304.861640	     -2.378996   1304.861640	      6.336472   1304.861640	      0.738466   1304.861640	      7.136770   1304.861640	      5.877751   1304.861640
    -16.120418   1418.095810	     -9.629013   1418.095810	    -16.541925   1418.095810	      0.627266   1418.095810	     -9.051578   1418.095810	     -0.640842   1418.095810	     -9.377691   1418.095810	     -9.069275   1418.095810
      8.931090   1615.022820	     -1.530819   1615.022820	      5.952062   1615.022820	     -2.965078   1615.022820	     -1.616580   1615.022820	      0.406555   1615.022820	     -1.629695   1615.022820	     -1.659651   1615.022820
     13.697085   1737.877140	      6.190809   1737.877140	     13.400035   1737.877140	     -1.353107   1737.877140	      5.208556   1737.877140	      0.652795   1737.877140	      5.763341   1737.877140	      4.418528   1737.877140
      0.527796   3046.281260	     15.481054   3046.281260	      1.323689   3046.281260	      2.089307   3046.281260	     15.861540   3046.281260	     -0.175872   3046.281260	     15.508839   3046.281260	     15.419096   3046.281260
     -5.552024   3589.174090	      9.316381   3589.174090	      2.291442   3589.174090	      9.365087   3589.174090	      9.112300   3589.174090	     -0.079282   3589.174090	      9.273962   3589.174090	      8.832860   3589.174090
     -7.707488   3727.938690	    -12.873773   3727.938690	     -3.344037   3727.938690	     -6.392248   3727.938690	    -13.508094   3727.938690	      0.405091   3727.938690	    -13.121576   3727.938690	    -13.870396   3727.938690
