 Ground to excited state transition electric dipole moments (Au):
       state          X           Y           Z        Dip. S.      Osc.
         1         0.0000      0.0000      0.0084      0.0001      0.0000
         2         1.2278     -0.2601     -0.0001      1.5752      0.1254
         3        -2.4237     -0.3478      0.0002      5.9952      0.5426
         4         0.1386      0.0317      0.0000      0.0202      0.0020
         5         0.0000      0.0000     -0.0071      0.0000      0.0000
         6        -0.1237      0.1189      0.0000      0.0294      0.0031
         7         0.4721     -0.5262      0.0000      0.4997      0.0572
         8        -1.3179      0.1738      0.0001      1.7670      0.2112
         9        -0.0001      0.0000     -0.0219      0.0005      0.0001
        10         0.0001      0.0000      0.0449      0.0020      0.0003
 Ground to excited state transition velocity dipole moments (Au):
